feature,branch,files,mean_missing_ratio,max_missing_ratio
dns_query_type,Packet-Based,181,0.9921437060672648,0.9998666666666667
stream_jitter_1_var,Packet-Based,181,0.5149606073014608,0.9991
stream_1_var,Packet-Based,181,0.5046924919701529,0.9982
stream_jitter_5_var,Packet-Based,181,0.5037730709084357,0.9991
stream_jitter_10_var,Packet-Based,181,0.49838107244326896,0.9991
stream_jitter_30_var,Packet-Based,181,0.49577565342861113,0.9991
stream_jitter_60_var,Packet-Based,181,0.4949093913749044,0.9991
stream_5_var,Packet-Based,181,0.4867158761003503,0.9978333333333333
stream_10_var,Packet-Based,181,0.47487124000068487,0.9978333333333333
stream_30_var,Packet-Based,181,0.4719922576540894,0.9978333333333333
stream_60_var,Packet-Based,181,0.4710339280579138,0.9978333333333333
stream_jitter_1_mean,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_1_sum,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_10_mean,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_10_sum,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_30_sum,Packet-Based,181,0.46881119999397475,0.9978333333333333
jitter,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_30_mean,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_5_mean,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_5_sum,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_60_mean,Packet-Based,181,0.46881119999397475,0.9978333333333333
stream_jitter_60_sum,Packet-Based,181,0.46881119999397475,0.9978333333333333
src_ip_1_var,Packet-Based,181,0.04125911570448145,0.46904982977406373
src_ip_mac_1_var,Packet-Based,181,0.036019741290151855,0.4507892293407614
src_ip_5_var,Packet-Based,181,0.02667597784997522,0.2667904673475704
channel_1_var,Packet-Based,181,0.024525462120298616,0.305323429278861
src_ip_10_var,Packet-Based,181,0.020908278953194588,0.185
src_ip_mac_5_var,Packet-Based,181,0.018152980770240884,0.22268647477561127
src_ip_30_var,Packet-Based,181,0.017797477003616818,0.16291613245501568
src_ip_60_var,Packet-Based,181,0.016963086637314346,0.15699190945665148
channel_5_var,Packet-Based,181,0.01575002536520322,0.1937480656143609
dst_ip,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_5_count,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_5_mean,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_60_count,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_60_mean,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_10_mean,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_10_count,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_1_count,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip_1_mean,Packet-Based,181,0.012859004591571185,0.14028029532693753
src_ip,Packet-Based,181,0.012859004591571185,0.14028029532693753
